დასახელება,მახასიათებლები,ფასი ლარებში-დოლარებში
იყიდება 2014 წლიანი Ford Focus   თბილისში,"
 124000 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 3 150
9 010


₾

$"
იყიდება 2017 წლიანი Toyota Prius   ბათუმში,"
 81000 კმ
 ავტომატიკა
 1.2 ჰიბრიდი
 მარცხენა
","
 11 500
32 900


₾

$"
იყიდება 2016 წლიანი Audi Q3   რუსთავში,"
 117 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 16 200
46 500


₾

$"
იყიდება 2012 წლიანი Mitsubishi Outlander   რუსთავში,"
 115200 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 7 920
22 600


₾

$"
იყიდება 2015 წლიანი BMW 320   თბილისში,"
 122 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 11 000
31 500


₾

$"
იყიდება 2020 წლიანი Toyota C-HR   რუსთავში,"
 3614 კმ
 ვარიატორი
 2.0 ბენზინი
 მარცხენა
","
 17 000
48 600


₾

$"
იყიდება 2017 წლიანი Toyota Camry   რუსთავში,"
 123 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 9 760
27 900


₾

$"
იყიდება 2014 წლიანი Hyundai Accent   თბილისში,"
 145239 კმ
 ავტომატიკა
 1.6 ბენზინი
 მარცხენა
","
 6 000
17 200


₾

$"
იყიდება 2011 წლიანი Nissan Juke   თბილისში,"
 130000 კმ
 ავტომატიკა
 1.6 ბენზინი
 მარცხენა
","
 6 300
18 000


₾

$"
იყიდება 2001 წლიანი Toyota Vitz   თბილისში,"
 200 კმ
 ავტომატიკა
 0.1 ბენზინი
 მარცხენა (გადატანილი)
","
 2 100
6 010


₾

$"
იყიდება 2002 წლიანი Mercedes-Benz E 260   თბილისში,"
 162 კმ
 ავტომატიკა
 2.6 ბენზინი
 მარცხენა
","
 3 860
11 000


₾

$"
იყიდება 2016 წლიანი Volkswagen Passat   თბილისში,"
 117 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 8 830
25 300


₾

$"
იყიდება 2015 წლიანი Mercedes-Benz C 300   თბილისში,"
 139 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 16 800
47 900


₾

$"
იყიდება 2017 წლიანი Volkswagen Passat   თბილისში,"
 158900 კმ
 ტიპტრონიკი
 1.8 ბენზინი
 მარცხენა
","
 8 500
24 300


₾

$"
იყიდება 2020 წლიანი Tesla Model Y   თბილისში,"
 26 კმ
 ავტომატიკა
 0 ელექტრო
 მარცხენა
","
 57 900
166 000


₾

$"
იყიდება 2004 წლიანი Smart Fortwo   თბილისში,"
 199 კმ
 ავტომატიკა
 0.7 ბენზინი
 მარცხენა
","
 1 880
5 370


₾

$"
იყიდება 2003 წლიანი Subaru Legacy   თბილისში,"
 120000 კმ
 ტიპტრონიკი
 2.0 ბენზინი
 მარჯვენა
","
შეთანხმებით
$"
იყიდება 2006 წლიანი Opel Combo   თბილისში,"
 189000 კმ
 მექანიკა
 1.3 დიზელი
 მარცხენა
","
 3 000
8 580


₾

$"
იყიდება 2016 წლიანი Fiat 500   თბილისში,"
 178200 კმ
 ავტომატიკა
 2.4 ბენზინი
 მარცხენა
","
 9 000
25 700


₾

$"
იყიდება 2013 წლიანი Mercedes-Benz C 250   თბილისში,"
 219200 კმ
 ტიპტრონიკი
 1.8 ბენზინი
 მარცხენა
","
 8 000
22 900


₾

$"
იყიდება 2015 წლიანი Volkswagen Passat   რუსთავში,"
 147 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 70 000
200 000


₾

$"
იყიდება 2016 წლიანი Honda Accord   რუსთავში,"
 139200 კმ
 ავტომატიკა
 2.4 ბენზინი
 მარცხენა
","
 12 000
34 300


₾

$"
იყიდება 2018 წლიანი Toyota Camry   რუსთავში,"
 99 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 16 200
46 300


₾

$"
იყიდება 2021 წლიანი Toyota Corolla   რუსთავში,"
 5126 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 16 000
45 800


₾

$"
იყიდება 2015 წლიანი Ford Fusion   რუსთავში,"
 148800 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 7 500
21 400


₾

$"
იყიდება 2013 წლიანი Ford Fusion   რუსთავში,"
 200 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 7 300
20 900


₾

$"
იყიდება 2018 წლიანი Audi Q3   რუსთავში,"
 35200 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 15 000
42 900


₾

$"
იყიდება 2018 წლიანი Hyundai Elantra   რუსთავში,"
 9600 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 10 800
30 900


₾

$"
იყიდება 1999 წლიანი Hyundai Tucson   რუსთავში,"
 57600 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 15 800
45 200


₾

$"
იყიდება 2017 წლიანი Volkswagen Jetta   რუსთავში,"
 67200 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 8 300
23 700


₾

$"
იყიდება 2013 წლიანი Volkswagen Passat   რუსთავში,"
 144 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 6 800
19 400


₾

$"
იყიდება 2011 წლიანი Chevrolet Camaro   რუსთავში,"
 194 კმ
 ავტომატიკა
 3.6 ბენზინი
 მარცხენა
","
 13 000
37 200


₾

$"
იყიდება 2018 წლიანი Volkswagen Passat   რუსთავში,"
 46 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 12 000
34 300


₾

$"
იყიდება 2014 წლიანი Toyota Camry   რუსთავში,"
 11202 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 8 900
25 500


₾

$"
იყიდება 2012 წლიანი Infiniti M37   რუსთავში,"
 0 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 7 800
22 300


₾

$"
იყიდება 2015 წლიანი Mazda 3   რუსთავში,"
 152000 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 6 500
18 600


₾

$"
იყიდება 2012 წლიანი Toyota Prius   რუსთავში,"
 131000 კმ
 ავტომატიკა
 1.5 ბენზინი
 მარცხენა
","
 5 700
16 300


₾

$"
იყიდება 2015 წლიანი Hyundai Elantra   რუსთავში,"
 80000 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 6 000
17 200


₾

$"
იყიდება 2016 წლიანი Subaru Forester   რუსთავში,"
 148800 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 9 500
27 200


₾

$"
